Country,Year,Disease,Disease Category,Prevalence Rate,Incidence Rate,Mortality Rate,Age Group,Gender,Population Affected
India,2021,Tuberculosis,Infectious,0.18,0.2,0.03,15-34,Male,276000
United States,2021,Heart Disease,Cardiovascular,6.9,7.4,14.0,65+,Female,22800000
Australia,2021,Asthma,Respiratory,10.3,11.2,0.04,15-34,Male,2700000
United Kingdom,2020,Diabetes,Non-communicable,6.4,7.0,1.3,35-64,Male,4300000
United States,2022,Heart Disease,Cardiovascular,7.0,7.5,13.8,65+,Male,23200000
Germany,2021,Asthma,Respiratory,8.2,8.9,0.04,15-34,Female,6750000
India,2020,Dengue,Infectious,0.08,0.1,0.01,15-34,Female,152000
United States,2021,Diabetes,Non-communicable,10.7,11.4,2.0,35-64,Female,16900000
Brazil,2020,Diabetes,Non-communicable,7.1,8.0,1.5,35-64,Male,7600000
India,2020,Diabetes,Non-communicable,8.7,9.8,1.2,35-64,Male,11800000
United Kingdom,2020,Asthma,Respiratory,9.2,10.1,0.05,15-34,Female,6100000
Japan,2020,Diabetes,Non-communicable,7.9,8.6,1.1,35-64,Male,9900000
Brazil,2021,Dengue,Infectious,0.55,0.64,0.04,15-34,Male,1180000
France,2020,Stroke,Neurological,1.5,1.7,7.1,65+,Female,1000000
United Kingdom,2022,Diabetes,Non-communicable,6.8,7.4,1.2,35-64,Male,4600000
Canada,2021,Diabetes,Non-communicable,7.4,8.1,1.2,35-64,Female,2830000
Japan,2021,Diabetes,Non-communicable,8.0,8.7,1.1,35-64,Female,10100000
Canada,2022,Diabetes,Non-communicable,7.6,8.3,1.1,35-64,Male,2910000
Japan,2020,Pneumonia,Respiratory,1.5,1.7,6.4,65+,Female,1900000
Germany,2020,Hypertension,Cardiovascular,27.1,29.0,6.2,65+,Male,22500000
Brazil,2021,Hypertension,Cardiovascular,22.8,24.5,5.7,65+,Male,24400000
Australia,2020,Asthma,Respiratory,10.1,11.0,0.04,15-34,Female,2600000
United States,2022,Diabetes,Non-communicable,10.9,11.6,2.0,35-64,Male,17300000
France,2022,Diabetes,Non-communicable,6.1,6.7,1.0,35-64,Male,4100000
France,2022,Stroke,Neurological,1.4,1.6,6.7,65+,Female,1040000
France,2020,Diabetes,Non-communicable,5.9,6.5,1.1,35-64,Male,3900000
Japan,2022,Pneumonia,Respiratory,1.4,1.5,6.0,65+,Female,1750000
France,2022,Asthma,Respiratory,7.9,8.6,0.03,15-34,Male,5300000
United Kingdom,2022,Heart Disease,Cardiovascular,5.9,6.4,11.1,65+,Male,4000000
United Kingdom,2020,Heart Disease,Cardiovascular,5.7,6.2,11.5,65+,Male,3800000
Germany,2022,Hypertension,Cardiovascular,27.7,29.6,6.0,65+,Male,23400000
India,2022,Tuberculosis,Infectious,0.17,0.19,0.02,15-34,Female,264000
Japan,2020,Pneumonia,Respiratory,1.5,1.7,6.4,65+,Female,1900000
Brazil,2021,Diabetes,Non-communicable,7.3,8.2,1.5,35-64,Female,7900000
